,idiom,meaning,example,idiomatic_part
0,tide over,Meaning: temporary help (often financial),"Example: When I was at university, my mother always sent me food parcels to tide me over until my next grant cheque came. Read on",tide me over
1,shadowban,Meaning: a method of censoring or controlling content on the internet,"Example: Twitter has shadow-banned me, and no one will see my tweets now. Read on",shadow-banned
2,brown study,Meaning: melancholy mood accompanied by deep thought,Example: I realised that Sandra wasn't concentrating on what the boss was saying and had disappeared into a brown study. Read on,brown study
3,good egg,Meaning: a kind person,"Example: My neighbour, Frank is such a good egg. He always feeds the cat and checks the house if we are away. Read on",good egg
4,bad egg,Meaning: someone who fails to meet expectations,Example: Stay away from Gordon. He's a thoroughly bad egg and the biggest bully in the school. Read on,bad egg
5,lower the bar,Meaning: to lower standards or expectations,Example: The revision bill aims to lower the bar on picking candidates. Read on,lower the bar
6,raise the bar,Meaning: to be better than what went before,"Example: Our family is so competitive. Now that my cousin has gone to university, everyone will expect me and my brother to raise the bar too. Read on",raise the bar
7,stand your ground,Meaning: not retreat,"Example: We stood our ground on the footpath, and then eventually, all the cows moved away. Read on",stood our ground
8,outside the lines,Meaning: not sticking to the rules,Example: I never thought they would be allowed to do their duties outside the lines. Read on,outside the lines
9,halfway house,"Meaning: mid-point in recovery, treatment, or progress",Example: Frank has gone into a halfway house after 27 years in prison. Read on,halfway house
10,tide over,Meaning: temporary help (often financial),"Example: When I was at university, my mother always sent me food parcels to tide me over until my next grant cheque came. Read on",tide me over
11,shadowban,Meaning: a method of censoring or controlling content on the internet,"Example: Twitter has shadow-banned me, and no one will see my tweets now. Read on",shadow-banned
12,brown study,Meaning: melancholy mood accompanied by deep thought,Example: I realised that Sandra wasn't concentrating on what the boss was saying and had disappeared into a brown study. Read on,brown study
13,good egg,Meaning: a kind person,"Example: My neighbour, Frank is such a good egg. He always feeds the cat and checks the house if we are away. Read on",good egg
14,bad egg,Meaning: someone who fails to meet expectations,Example: Stay away from Gordon. He's a thoroughly bad egg and the biggest bully in the school. Read on,bad egg
15,lower the bar,Meaning: to lower standards or expectations,Example: The revision bill aims to lower the bar on picking candidates. Read on,lower the bar
16,raise the bar,Meaning: to be better than what went before,"Example: Our family is so competitive. Now that my cousin has gone to university, everyone will expect me and my brother to raise the bar too. Read on",raise the bar
